T (C),P (kbar),log10fO2,RedoxMode,olivine,CaO-1,MgO-1,FeO-1,MnO-1,CoO-1,NiO-1,SiO2-1,Mg#-1
1065,1,-13.58,IW,14.68,0.00733714,0.43246,0.169207,0,0,0,0.390996,82
1060,1,-13.66,IW,14.75,0.00733714,0.43246,0.169207,0,0,0,0.390996,82
1055,1,-13.73,IW,14.83,0.00733714,0.43246,0.169207,0,0,0,0.390996,82
1050,1,-13.81,IW,14.91,0.00733714,0.43246,0.169207,0,0,0,0.390996,82
1045,1,-13.89,IW,15,0.00730699,0.42543,0.177873,0,0,0,0.389389,81
1040,1,-13.96,IW,15.09,0.00730699,0.42543,0.177873,0,0,0,0.389389,81
1035,1,-14.04,IW,15.18,0.00730699,0.42543,0.177873,0,0,0,0.389389,81
1030,1,-14.12,IW,15.28,0.00730699,0.42543,0.177873,0,0,0,0.389389,81
1025,1,-14.2,IW,15.38,0.00727709,0.418458,0.186469,0,0,0,0.387796,80
1020,1,-14.28,IW,15.48,0.00727709,0.418458,0.186469,0,0,0,0.387796,80
1015,1,-14.36,IW,15.58,0.00727709,0.418458,0.186469,0,0,0,0.387796,80
1010,1,-14.44,IW,15.67,0.00724743,0.411543,0.194994,0,0,0,0.386215,79
1005,1,-14.52,IW,15.76,0.00724743,0.411543,0.194994,0,0,0,0.386215,79
1000,1,-14.61,IW,15.85,0.00724743,0.411543,0.194994,0,0,0,0.386215,79
995,1,-14.69,IW,15.94,0.00724743,0.411543,0.194994,0,0,0,0.386215,79
990,1,-14.77,IW,16.02,0.007218,0.404684,0.20345,0,0,0,0.384647,78
985,1,-14.86,IW,16.09,0.007218,0.404684,0.20345,0,0,0,0.384647,78
